#{"t_start": 1753906013.745462, "env_id": "None"}
r,l,t
456.137705,50,19.895714
252.723968,50,19.966718
349.544362,50,20.037714
316.432596,50,20.105713
133.871731,50,20.181717
335.129454,50,20.315718
363.300313,50,20.452719
308.677192,50,20.547715
546.871597,50,20.646717
306.128925,50,20.763713
418.101873,50,20.860713
457.686097,50,20.985716
161.908285,50,21.081716
79.650624,50,21.167715
174.89084,50,21.252715
190.644643,50,21.328714
280.964933,50,21.405715
342.60349,50,21.481722
405.337681,50,21.552716
135.752276,50,21.643715
230.624103,50,21.799715
241.013475,50,24.216715
232.260953,50,24.299714
306.13893,50,24.368712
308.256953,50,24.438717
256.17133,50,24.523718
204.928536,50,24.599713
322.337658,50,24.666717
295.045544,50,24.747721
376.401964,50,24.831716
391.957128,50,24.892716
565.932118,50,24.96272
286.987933,50,25.029713
449.122441,50,25.093716
487.449606,50,25.162718
